AchievementGroupName,AchievementName,EarnDate,Marketplace,Quantity
"2024 Kindle Summer Challenge",Bookish,2024-08-08T03:14:52Z,www.amazon.com,1
"2024 Kindle Summer Challenge",PrimeDay,2024-07-17T11:32:36Z,www.amazon.com,1
"2024 Kindle Summer Challenge",BronzeReader,2024-07-17T04:01:46Z,www.amazon.com,1
"2024 Kindle Summer Challenge",PerfectWeek,2024-07-13T20:17:00Z,www.amazon.com,10
"2024 Kindle Summer Challenge",HeadStart,2024-07-02T09:33:53Z,www.amazon.com,3
"2024 Kindle Spring Challenge",SolsticeStoryTime,2024-06-20T22:35:04Z,www.amazon.com,1
"2024 Kindle Spring Challenge",GoldReader,2024-06-19T04:49:06Z,www.amazon.com,1
"2024 Kindle Spring Challenge",WeekendLit,2024-06-15T22:34:56Z,www.amazon.com,1
"2024 Kindle Spring Challenge",SpringReader,2024-05-17T07:55:37Z,www.amazon.com,1
"2024 Kindle Spring Challenge",SilverReader,2024-05-12T17:49:05Z,www.amazon.com,1
"2024 Kindle Spring Challenge",Skyreader,2024-05-08T23:14:01Z,www.amazon.com,1
"2024 Kindle Spring Challenge",TheBardsofKindle,2024-04-24T04:09:48Z,www.amazon.com,1
"2024 Kindle Spring Challenge",BronzeReader,2024-04-18T05:19:48Z,www.amazon.com,1
"2024 Kindle Spring Challenge",Bibliophile,2024-04-08T06:36:35Z,www.amazon.com,1
"2024 Kindle Spring Challenge",PerfectWeek,2024-04-06T14:53:42Z,www.amazon.com,7
"2024 Kindle Spring Challenge",Bookworm,2024-04-04T23:37:30Z,www.amazon.com,1
"2024 Kindle Spring Challenge",Bookish,2024-04-03T00:34:37Z,www.amazon.com,1
"2024 Kindle Spring Challenge",HeadStart,2024-04-02T04:09:02Z,www.amazon.com,3
"2024 New Year Kindle Challenge",PageSage,2024-03-23T05:37:23Z,www.amazon.com,1
"2024 New Year Kindle Challenge",GoldReader,2024-03-23T05:37:17Z,www.amazon.com,1
"2024 New Year Kindle Challenge",NationalReadingMonth,2024-03-09T02:38:18Z,www.amazon.com,1
"2024 New Year Kindle Challenge",HappilyEverAfter,2024-02-14T22:17:53Z,www.amazon.com,1
"2024 New Year Kindle Challenge",SilverReader,2024-02-11T18:32:04Z,www.amazon.com,1
"2024 New Year Kindle Challenge",GroundhogDay,2024-02-04T03:07:31Z,www.amazon.com,1
"2024 New Year Kindle Challenge",PerfectMonth,2024-01-31T22:51:48Z,www.amazon.com,1
"2024 New Year Kindle Challenge",ResolutionKeeper,2024-01-19T23:22:21Z,www.amazon.com,1
"2024 New Year Kindle Challenge",GoodreadsChoiceAwards,2024-01-18T04:40:36Z,www.amazon.com,1
"2024 New Year Kindle Challenge",Bibliophile,2024-01-16T02:12:23Z,www.amazon.com,1
"2024 New Year Kindle Challenge",BronzeReader,2024-01-15T19:06:47Z,www.amazon.com,1
"2024 New Year Kindle Challenge",Bookworm,2024-01-10T04:35:39Z,www.amazon.com,1
"2024 New Year Kindle Challenge",Bookish,2024-01-06T18:47:34Z,www.amazon.com,1
"2024 New Year Kindle Challenge",PerfectWeek,2024-01-06T18:21:36Z,www.amazon.com,8
"2024 New Year Kindle Challenge",HeadStart,2024-01-01T11:35:27Z,www.amazon.com,3
"2023 Year End Kindle Challenge",GoldReader,2023-12-26T04:51:02Z,www.amazon.com,1
"2023 Year End Kindle Challenge",CozyUp,2023-12-18T02:36:51Z,www.amazon.com,1
"2023 Year End Kindle Challenge",Bestof2023,2023-12-14T03:40:10Z,www.amazon.com,1
"2023 Year End Kindle Challenge",SpookySeason,2023-12-12T19:39:49Z,www.amazon.com,1
"2023 Year End Kindle Challenge",ReadInstead,2023-11-27T06:35:54Z,www.amazon.com,1
"2023 Year End Kindle Challenge",SilverReader,2023-11-14T02:50:33Z,www.amazon.com,1
"2023 Year End Kindle Challenge",Bibliophile,2023-10-22T04:55:43Z,www.amazon.com,1
"2023 Year End Kindle Challenge",PerfectWeek,2023-10-22T04:36:21Z,www.amazon.com,6
"2023 Year End Kindle Challenge",BronzeReader,2023-10-19T04:49:24Z,www.amazon.com,1
"2023 Year End Kindle Challenge",Bookworm,2023-10-12T07:28:53Z,www.amazon.com,1
"2023 Year End Kindle Challenge",PrimeBigDealDays,2023-10-11T13:23:53Z,www.amazon.com,1
"2023 Year End Kindle Challenge",Bookish,2023-10-03T02:39:34Z,www.amazon.com,1
"2023 Year End Kindle Challenge",HeadStart,2023-10-02T04:34:37Z,www.amazon.com,3
"2023 Kindle Summer Challenge",GoldReader,2023-09-26T23:20:13Z,www.amazon.com,1
"2023 Kindle Summer Challenge",EpicFinish,2023-09-25T02:03:52Z,www.amazon.com,1
"2023 Kindle Summer Challenge",SilverReader,2023-08-14T23:20:17Z,www.amazon.com,1
"2023 Kindle Summer Challenge",BookLover,2023-08-10T04:24:16Z,www.amazon.com,1
"2023 Kindle Summer Challenge",Bibliophile,2023-07-23T03:47:27Z,www.amazon.com,1
"2023 Kindle Summer Challenge",Bookworm,2023-07-21T22:44:49Z,www.amazon.com,1
"2023 Kindle Summer Challenge",BronzeReader,2023-07-16T22:21:35Z,www.amazon.com,1
"2023 Kindle Summer Challenge",Bookish,2023-07-14T02:53:04Z,www.amazon.com,1
"2023 Kindle Summer Challenge",PerfectWeek,2023-07-09T05:20:36Z,www.amazon.com,7
"2023 Kindle Summer Challenge",HeadStart,2023-07-03T04:34:54Z,www.amazon.com,3
"2023 Kindle Spring Challenge",GoldReader,2023-06-25T00:26:29Z,www.amazon.com,1
"2023 Kindle Spring Challenge",SilverReader,2023-05-12T03:18:39Z,www.amazon.com,1
"2023 Kindle Spring Challenge",Voyager,2023-04-24T03:34:08Z,www.amazon.com,1
"2023 Kindle Spring Challenge",BronzeReader,2023-04-16T04:18:26Z,www.amazon.com,1
"2023 Kindle Spring Challenge",Bibliophile,2023-04-11T03:06:27Z,www.amazon.com,1
"2023 New Year Kindle Challenge",MagazineLover,2023-04-10T04:43:54Z,www.amazon.com,1
"2023 Kindle Spring Challenge",PerfectWeek,2023-04-09T04:33:55Z,www.amazon.com,7
"2023 Kindle Spring Challenge",Bookworm,2023-04-09T04:01:23Z,www.amazon.com,1
"2023 Kindle Spring Challenge",Bookish,2023-04-04T01:53:06Z,www.amazon.com,1
"2023 Kindle Spring Challenge",HeadStart,2023-04-01T20:49:09Z,www.amazon.com,3
"2023 New Year Kindle Challenge",SpringReader,2023-03-22T20:33:29Z,www.amazon.com,1
"2023 New Year Kindle Challenge",PerfectWeek,2023-03-05T05:38:48Z,www.amazon.com,3
"2023 New Year Kindle Challenge",SilverReader,2023-02-27T05:40:43Z,www.amazon.com,1
"2023 New Year Kindle Challenge",Bibliophile,2023-02-15T05:54:36Z,www.amazon.com,1
"2023 New Year Kindle Challenge",BestOf2022,2023-02-15T05:54:35Z,www.amazon.com,1
"2023 New Year Kindle Challenge",HappilyEverAfter,2023-02-15T00:05:33Z,www.amazon.com,1
"2023 New Year Kindle Challenge",Bookworm,2023-01-28T05:15:30Z,www.amazon.com,1
"2023 New Year Kindle Challenge",BronzeReader,2023-01-24T23:40:20Z,www.amazon.com,1
"2023 New Year Kindle Challenge",QuittersDay,2023-01-18T21:38:44Z,www.amazon.com,1
"2023 New Year Kindle Challenge",Bookish,2023-01-12T05:50:19Z,www.amazon.com,1
"2023 New Year Kindle Challenge",HeadStart,2023-01-02T04:02:19Z,www.amazon.com,1
"2022 Year End Kindle Challenge",GreatOnKindle,2022-12-27T00:58:27Z,www.amazon.com,1
"2022 Year End Kindle Challenge",SweaterWeather,2022-12-20T04:22:27Z,www.amazon.com,1
"2022 Year End Kindle Challenge",SilverReader,2022-11-28T04:41:01Z,www.amazon.com,1
"2022 Year End Kindle Challenge",ReadInstead,2022-11-27T05:38:45Z,www.amazon.com,1
"2022 Year End Kindle Challenge",Bibliophile,2022-11-16T22:14:39Z,www.amazon.com,1
"2022 Year End Kindle Challenge",Bookworm,2022-11-01T00:29:08Z,www.amazon.com,1
"2022 Year End Kindle Challenge",BronzeReader,2022-10-17T03:42:38Z,www.amazon.com,1
"2022 Year End Kindle Challenge",PrimeEarlyAccess,2022-10-13T04:48:26Z,www.amazon.com,1
"2022 Year End Kindle Challenge",PerfectWeek,2022-10-09T04:18:48Z,www.amazon.com,2
"2022 Year End Kindle Challenge",Bookish,2022-10-05T19:32:07Z,www.amazon.com,1
"2022 Year End Kindle Challenge",HeadStart,2022-10-01T23:19:50Z,www.amazon.com,1
"2022 Epic Summer Challenge",GoldReader,2022-09-23T19:36:42Z,www.amazon.com,1
"2022 Epic Summer Challenge",EpicEnding,2022-09-20T17:50:13Z,www.amazon.com,1
"2022 Epic Summer Challenge",SilverReader,2022-08-14T18:25:25Z,www.amazon.com,1
"2022 Epic Summer Challenge",Bibliophile,2022-08-12T03:35:00Z,www.amazon.com,1
"2022 Epic Summer Challenge",Bookworm,2022-07-21T16:32:23Z,www.amazon.com,1
"2022 Epic Summer Challenge",BronzeReader,2022-07-18T19:40:50Z,www.amazon.com,1
"2022 Epic Summer Challenge",PerfectWeek,2022-07-17T06:08:02Z,www.amazon.com,7
"2022 Epic Summer Challenge",PrimeDay,2022-07-12T21:41:27Z,www.amazon.com,1
"2022 Epic Summer Challenge",Bookish,2022-07-09T04:19:46Z,www.amazon.com,1
"2022 Epic Summer Challenge",HeadStart,2022-07-03T04:35:01Z,www.amazon.com,1
"2022 Kindle Spring Challenge",GoldReader,2022-06-18T22:39:45Z,www.amazon.com,1
"2022 Kindle Spring Challenge",FinalChapter,2022-06-17T05:36:48Z,www.amazon.com,1
"2022 Kindle Spring Challenge",QuickBites,2022-06-03T20:34:03Z,www.amazon.com,1
"2022 Kindle Spring Challenge",ImAFan,2022-05-21T01:59:37Z,www.amazon.com,1
"2022 Kindle Spring Challenge",SilverReader,2022-05-10T21:25:36Z,www.amazon.com,1
"2022 Kindle Spring Challenge",GreatEscape,2022-05-08T19:00:15Z,www.amazon.com,1
"2022 Kindle Spring Challenge",PerfectMonth,2022-04-30T15:25:12Z,www.amazon.com,1
"2022 Kindle Spring Challenge",ChartTopper,2022-04-24T06:21:43Z,www.amazon.com,1
"2022 Kindle Spring Challenge",Voyager,2022-04-23T23:19:16Z,www.amazon.com,1
"2022 Kindle Spring Challenge",Bibliophile,2022-04-18T23:12:12Z,www.amazon.com,1
"2022 Kindle Spring Challenge",Scholar,2022-04-18T23:12:12Z,www.amazon.com,1
"2022 Kindle Spring Challenge",BronzeReader,2022-04-16T05:22:34Z,www.amazon.com,1
"2022 Kindle Spring Challenge",FinalFrontier,2022-04-15T03:41:08Z,www.amazon.com,1
"2022 Kindle Spring Challenge",Bookworm,2022-04-15T03:39:54Z,www.amazon.com,1
"2022 Kindle Spring Challenge",PerfectWeek,2022-04-09T17:21:24Z,www.amazon.com,10
"2022 Kindle Spring Challenge",Bookish,2022-04-04T03:37:23Z,www.amazon.com,1
"2021 Kindle Challenge",KindleUnlimitedReader,2022-03-10T04:14:19Z,www.amazon.com,1
"2021 Kindle Challenge",SeriesStarter,2022-03-10T03:41:51Z,www.amazon.com,1
"2021 Kindle Challenge",PrimeReader,2022-03-10T03:37:45Z,www.amazon.com,1
"2021 Kindle Challenge",GoalSetter,2022-03-10T02:59:44Z,www.amazon.com,1
"2021 Kindle Rewards",YouAreNumberOne,2022-03-10T02:16:24Z,www.amazon.com,1
"2021 Kindle Rewards",TripleThreat,2022-03-10T01:57:41Z,www.amazon.com,1
"2021 Kindle Rewards",TwoTimeChamp,2022-03-10T01:47:26Z,www.amazon.com,1
"2021 Kindle Rewards",SilverReader,2022-03-10T01:44:09Z,www.amazon.com,1
"2021 Kindle Rewards",BronzeReader,2022-03-10T01:15:45Z,www.amazon.com,1
