"Product Name","ASIN","Resource Type","Our Price","Ownership Type","Relationship Status","Sortable Title","Sortable Author Name","Series Author","Series Title","Relation Type","Position In Collection","Ordered","Marketplace","Relationship Creation Date","Created At","Deleted By Customer"
"The River Is Waiting (Oprah's Book Club): A Novel","B0DHDF2RDL","ITEM","15 USD","Item Owner","Terminated","River Is Waiting Oprah's Book Club A Novel, The","Lamb, Wally","Not Available","Not Available","SELF","Not Available","Not Available","www.amazon.com","2025-06-13T16:26:48Z","2025-06-23T00:58:26Z","Yes"
"So Far Gone: A Novel","B0DGY7NRZJ","Not Available","Not Available","Not Interested","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","www.amazon.com","2025-06-18T00:00:00Z","2025-06-18T00:00:00Z","Not Available"
"A Few Seconds of Panic: A 5-Foot-8, 170-Pound, 43-Year-Old Sportswriter Plays in the NFL","1594201781","Not Available","Not Available","Not Interested","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","www.amazon.com","2025-06-18T00:00:00Z","2025-06-18T00:00:00Z","Not Available"
"The Game","0470835842","ITEM","8 USD","Not Interested","Not Available","Game, The","Dryden, Ken","Not Available","Not Available","SELF","Not Available","Not Available","www.amazon.com","2025-06-18T00:00:00Z","2025-06-18T00:00:00Z","Not Available"
"So Far Gone: A Novel","B0DGY7NRZJ","Not Available","Not Available","Not Interested","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","www.amazon.com","2025-06-18T00:00:00Z","2025-06-18T00:00:00Z","Not Available"
"A Few Seconds of Panic: A 5-Foot-8, 170-Pound, 43-Year-Old Sportswriter Plays in the NFL","1594201781","Not Available","Not Available","Not Interested","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","www.amazon.com","2025-06-18T00:00:00Z","2025-06-18T00:00:00Z","Not Available"
"The Game","0470835842","ITEM","8 USD","Not Interested","Not Available","Game, The","Dryden, Ken","Not Available","Not Available","SELF","Not Available","Not Available","www.amazon.com","2025-06-18T00:00:00Z","2025-06-18T00:00:00Z","Not Available"
"Aldo Leopold: A Sand County Almanac & Other Writings on Conservation and Ecology (LOA #238) (Library of America)","B00BUP18U0","ITEM","18 USD","Item Owner","Terminated","Aldo Leopold A Sand County Almanac Other Writings on Conservation and Ecology LOA 238 Library of America","Leopold, Aldo","Not Available","Not Available","SELF","Not Available","Not Available","www.amazon.com","2024-05-04T21:38:58Z","2025-06-13T18:56:39Z","Yes"
"Goalie Mindset Secrets: 7 Must Have Goalie Mindset Secrets You Don't Learn in School!","B07LGLF1JG","Not Available","Not Available","Item Owner","Cancelled","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","www.amazon.com","2021-11-07T05:47:25Z","2025-06-13T18:56:29Z","Yes"
"So You Want to Talk About Race","B07QBNKJTZ","Not Available","Not Available","Item Owner","Cancelled","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","www.amazon.com","2020-06-06T15:17:30Z","2025-06-13T18:56:19Z","Yes"
"The Rider","1582342903","ITEM","14 USD","Not Interested","Not Available","Rider, The","Krabbé, Tim","Not Available","Not Available","SELF","Not Available","Not Available","www.amazon.com","2025-06-13T00:00:00Z","2025-06-13T00:00:00Z","Not Available"
"The Rider","1582342903","ITEM","14 USD","Not Interested","Not Available","Rider, The","Krabbé, Tim","Not Available","Not Available","SELF","Not Available","Not Available","www.amazon.com","2025-06-13T00:00:00Z","2025-06-13T00:00:00Z","Not Available"
"The Wedding People: A Novel","B0CJ839C56","ITEM","15 USD","Item Owner","Terminated","Wedding People A Novel, The","Espach, Alison","Not Available","Not Available","SELF","Not Available","Not Available","www.amazon.com","2025-06-03T00:53:44Z","2025-06-11T03:12:16Z","Yes"
"The Emperor of Gladness: Oprah's Book Club: A Novel","059383187X","ITEM","21 USD","Not Interested","Not Available","Emperor of Gladness Oprah's Book Club A Novel, The","Vuong, Ocean","Not Available","Not Available","SELF","Not Available","Not Available","www.amazon.com","2025-06-08T00:00:00Z","2025-06-08T00:00:00Z","Not Available"
"On the Calculation of Volume (Book I): Shortlisted for the 2025 International Booker Prize","0811237257","ITEM","15 USD","Not Interested","Not Available","On the Calculation of Volume Book I Shortlisted for the 2025 International Booker Prize","Balle, Solvej","Balle, Solvej B0DP3XWY8V","On the Calculation of Volume B0DP3XWY8V","PRIMARY",1,"Not Available","www.amazon.com","2025-05-27T00:00:00Z","2025-05-27T00:00:00Z","Not Available"
"Run for the Hills: From the NYT Bestselling Author of Nothing to See Here","0063317516","ITEM","15 USD","Not Interested","Not Available","Run for the Hills From the NYT Bestselling Author of Nothing to See Here","Wilson, Kevin","Not Available","Not Available","SELF","Not Available","Not Available","www.amazon.com","2025-05-23T00:00:00Z","2025-05-23T00:00:00Z","Not Available"
"Ruth Run: A Novel","0593832647","Not Available","Not Available","Not Interested","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","www.amazon.com","2025-05-21T00:00:00Z","2025-05-21T00:00:00Z","Not Available"
"Flesh: A Novel","198212279X","ITEM","21 USD","Not Interested","Not Available","Flesh A Novel","Szalay, David","Not Available","Not Available","SELF","Not Available","Not Available","www.amazon.com","2025-05-14T00:00:00Z","2025-05-14T00:00:00Z","Not Available"
"Tilt: A Novel","B0CWFMT5SC","ITEM","15 USD","Item Owner","Terminated","Tilt A Novel","Pattee, Emma","Not Available","Not Available","SELF","Not Available","Not Available","www.amazon.com","2025-05-11T03:08:17Z","2025-05-11T03:42:19Z","Yes"
"The Murder of Roger Ackroyd","B09SKWT6SF","Not Available","Not Available","Sample Owner","Terminated","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","www.amazon.com","2025-05-06T03:27:04Z","2025-05-06T03:29:59Z","Yes"
"Gone Gone","B0DLLGPNMQ","Not Available","Not Available","Sample Owner","Terminated","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","www.amazon.com","2025-05-03T20:36:52Z","2025-05-06T03:17:10Z","Yes"
"Careless People: A Cautionary Tale of Power, Greed, and Lost Idealism","B0DY9TZD8Z","ITEM","17 USD","Item Owner","Terminated","Careless People A Cautionary Tale of Power Greed and Lost Idealism","Wynn Williams, Sarah","Not Available","Not Available","SELF","Not Available","Not Available","www.amazon.com","2025-05-02T19:09:23Z","2025-05-06T03:16:50Z","Yes"
"Audition: A Novel","059385232X","ITEM","11 USD","Not Interested","Not Available","Audition A Novel","Kitamura, Katie","Not Available","Not Available","SELF","Not Available","Not Available","www.amazon.com","2025-05-01T00:00:00Z","2025-05-01T00:00:00Z","Not Available"
"Win the Inside Game: How to Move from Surviving to Thriving, and Free Yourself Up to Perform","B0D3CBLLPH","Not Available","Not Available","Sample Owner","Terminated","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","www.amazon.com","2025-02-07T21:25:47Z","2025-04-21T22:24:42Z","Yes"
"The Hedgehog’s Dilemma","B0D57LWBM6","ITEM","10 USD","Item Owner","Terminated","Hedgehog s Dilemma, The","Tellegen, Toon","Not Available","Not Available","SELF","Not Available","Not Available","www.amazon.com","2025-04-02T23:57:27Z","2025-04-18T01:10:51Z","Yes"
"The Murder Show","1250325722","ITEM","19 USD","Not Interested","Not Available","Murder Show, The","Goldman, Matt","Not Available","Not Available","SELF","Not Available","Not Available","www.amazon.com","2025-04-17T00:00:00Z","2025-04-17T00:00:00Z","Not Available"
"CABIN: Off the Grid Adventures with a Clueless Craftsman","B0CQHL1XV7","Not Available","Not Available","Sample Owner","Terminated","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","www.amazon.com","2025-02-06T18:44:24Z","2025-04-14T04:17:40Z","Yes"
"I See You've Called in Dead: A Novel","B0DC7V6RMG","ITEM","26 USD","Not Interested","Not Available","I See You've Called in Dead A Novel","Kenney, John","Not Available","Not Available","SELF","Not Available","Not Available","www.amazon.com","2025-04-13T00:00:00Z","2025-04-13T00:00:00Z","Not Available"
"CABIN: Off the Grid Adventures with a Clueless Craftsman","1250285704","ITEM","14 USD","Not Interested","Not Available","CABIN Off the Grid Adventures with a Clueless Craftsman","Hutchison, Patrick","Not Available","Not Available","SELF","Not Available","Not Available","www.amazon.com","2025-04-13T00:00:00Z","2025-04-13T00:00:00Z","Not Available"
"Kills Well with Others","0593638514","ITEM","16 USD","Not Interested","Not Available","Kills Well with Others","Raybourn, Deanna","Raybourn, Deanna B0DK46QFK8","Killers of a Certain Age B0DK46QFK8","PRIMARY",2,"Not Available","www.amazon.com","2025-04-06T00:00:00Z","2025-04-06T00:00:00Z","Not Available"
"The Passenger Seat","1771966300","ITEM","17 USD","Not Interested","Not Available","Passenger Seat, The","Khurana, Vijay","Not Available","Not Available","SELF","Not Available","Not Available","www.amazon.com","2025-03-10T00:00:00Z","2025-03-10T00:00:00Z","Not Available"
"Rental House: A Novel","0593545540","ITEM","15 USD","Not Interested","Not Available","Rental House A Novel","Wang, Weike","Not Available","Not Available","SELF","Not Available","Not Available","www.amazon.com","2025-03-05T00:00:00Z","2025-03-05T00:00:00Z","Not Available"
"Fifty in Reverse: A Novel","1982152672","ITEM","19 USD","Not Interested","Not Available","Fifty in Reverse A Novel","Flanagan, Bill","Not Available","Not Available","SELF","Not Available","Not Available","www.amazon.com","2025-02-27T00:00:00Z","2025-02-27T00:00:00Z","Not Available"
"Not Available","Not Available","Not Available","Not Available","Goodreads Shelf Owner","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","www.amazon.com","2025-02-26T19:55:12Z","2025-02-26T19:55:12Z","Not Available"
"Not Available","Not Available","Not Available","Not Available","Goodreads Shelf Owner","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","www.amazon.com","2014-09-24T10:14:59Z","2025-02-26T11:55:14Z","Not Available"
"Hansons Marathon Method: Run Your Fastest Marathon the Hansons Way","B0CDDCJ6P2","ITEM","Not Available","Not Interested","Not Available","Hansons Marathon Method Run Your Fastest Marathon the Hansons Way","Humphrey, Luke","Not Available","Not Available","SELF","Not Available","Not Available","www.amazon.com","2025-02-26T00:00:00Z","2025-02-26T00:00:00Z","Not Available"
"Martin Dressler: The Tale of an American Dreamer (Vintage Contemporaries)","B004089I6A","ITEM","6 USD","Not Interested","Not Available","Martin Dressler The Tale of an American Dreamer Vintage Contemporaries","Millhauser, Steven","Not Available","Not Available","SELF","Not Available","Not Available","www.amazon.com","2025-02-26T00:00:00Z","2025-02-26T00:00:00Z","Not Available"
"The Botany of Desire: A Plant's-Eye View of the World","B000FC1H14","ITEM","12 USD","Not Interested","Not Available","Botany of Desire A Plant's Eye View of the World, The","Pollan, Michael","Not Available","Not Available","SELF","Not Available","Not Available","www.amazon.com","2025-02-26T00:00:00Z","2025-02-26T00:00:00Z","Not Available"
"Beartooth: A Novel","1954118023","ITEM","16 USD","Not Interested","Not Available","Beartooth A Novel","Wink, Callan","Not Available","Not Available","SELF","Not Available","Not Available","www.amazon.com","2025-02-26T00:00:00Z","2025-02-26T00:00:00Z","Not Available"
"Peak Performance: Elevate Your Game, Avoid Burnout, and Thrive with the New Science of Success","162336793X","ITEM","14 USD","Not Interested","Not Available","Peak Performance Elevate Your Game Avoid Burnout and Thrive with the New Science of Success","Stulberg, Brad","Not Available","Not Available","SELF","Not Available","Not Available","www.amazon.com","2025-02-26T00:00:00Z","2025-02-26T00:00:00Z","Not Available"
"Banana: The Fate of the Fruit That Changed the World","1594630380","ITEM","3 USD","Not Interested","Not Available","Banana The Fate of the Fruit That Changed the World","Koeppel, Dan","Not Available","Not Available","SELF","Not Available","Not Available","www.amazon.com","2025-02-26T00:00:00Z","2025-02-26T00:00:00Z","Not Available"
"The Ghost Map: The Story of London's Most Terrifying Epidemic and How It Changed Science, Cities, and the Modern World","1594489254","ITEM","21 USD","Not Interested","Not Available","Ghost Map The Story of London's Most Terrifying Epidemic and How It Changed Science Cities and the Modern World, The","Johnson, Steven","Not Available","Not Available","SELF","Not Available","Not Available","www.amazon.com","2025-02-26T00:00:00Z","2025-02-26T00:00:00Z","Not Available"
"Out of Thin Air: Running Wisdom and Magic from Above the Clouds in Ethiopia: Winner of the Margaret Mead Award 2022","1472975324","ITEM","24 USD","Not Interested","Not Available","Out of Thin Air Running Wisdom and Magic from Above the Clouds in Ethiopia Winner of the Margaret Mead Award 2022","Crawley, Michael","Not Available","Not Available","SELF","Not Available","Not Available","www.amazon.com","2025-02-26T00:00:00Z","2025-02-26T00:00:00Z","Not Available"
"The Incomplete Book of Running","1451696248","ITEM","10 USD","Not Interested","Not Available","Incomplete Book of Running, The","Sagal, Peter","Not Available","Not Available","SELF","Not Available","Not Available","www.amazon.com","2025-02-26T00:00:00Z","2025-02-26T00:00:00Z","Not Available"
"Longitude: The True Story of a Lone Genius Who Solved the Greatest Scientific Problem of His Time","0802714625","Not Available","Not Available","Not Interested","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","www.amazon.com","2025-02-26T00:00:00Z","2025-02-26T00:00:00Z","Not Available"
"North Woods: A Novel","0593597036","ITEM","16 USD","Not Interested","Not Available","North Woods A Novel","Mason, Daniel","Not Available","Not Available","SELF","Not Available","Not Available","www.amazon.com","2025-02-26T00:00:00Z","2025-02-26T00:00:00Z","Not Available"
"Somebody's Fool: A novel (North Bath Trilogy)","0593317890","ITEM","12 USD","Not Interested","Not Available","Somebody's Fool A novel North Bath Trilogy","Russo, Richard","Russo, Richard B0BP2SW74Q","North Bath Trilogy B0BP2SW74Q","PRIMARY",3,"Not Available","www.amazon.com","2025-02-26T00:00:00Z","2025-02-26T00:00:00Z","Not Available"
"My Year of Running Dangerously: A Dad, a Daughter, and a Ridiculous Plan","0399175474","ITEM","6 USD","Not Interested","Not Available","My Year of Running Dangerously A Dad a Daughter and a Ridiculous Plan","Foreman, Tom","Not Available","Not Available","SELF","Not Available","Not Available","www.amazon.com","2025-02-26T00:00:00Z","2025-02-26T00:00:00Z","Not Available"
"The Sportswriter","0394743253","Not Available","Not Available","Not Interested","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","www.amazon.com","2025-02-26T00:00:00Z","2025-02-26T00:00:00Z","Not Available"
"James (Pulitzer Prize Winner): A Novel","0385550367","ITEM","18 USD","Not Interested","Not Available","James Pulitzer Prize Winner A Novel","Everett, Percival","Not Available","Not Available","SELF","Not Available","Not Available","www.amazon.com","2025-02-26T00:00:00Z","2025-02-26T00:00:00Z","Not Available"
"Memoirs of Hadrian (FSG Classics)","0374529264","ITEM","14 USD","Not Interested","Not Available","Memoirs of Hadrian FSG Classics","Yourcenar, Marguerite","Not Available","Not Available","SELF","Not Available","Not Available","www.amazon.com","2025-02-26T00:00:00Z","2025-02-26T00:00:00Z","Not Available"
"Then We Came to the End: A Novel","0316016381","Not Available","Not Available","Not Interested","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","www.amazon.com","2025-02-26T00:00:00Z","2025-02-26T00:00:00Z","Not Available"
"Independence Day","0099447126","Not Available","Not Available","Not Interested","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","www.amazon.com","2025-02-26T00:00:00Z","2025-02-26T00:00:00Z","Not Available"
"Fast Girl: A Life Spent Running from Madness","0062346229","ITEM","18 USD","Not Interested","Not Available","Fast Girl A Life Spent Running from Madness","Hamilton, Suzy Favor","Not Available","Not Available","SELF","Not Available","Not Available","www.amazon.com","2025-02-26T00:00:00Z","2025-02-26T00:00:00Z","Not Available"
"No Room at the Morgue","B081M4F8GH","ITEM","12 USD","Item Owner","Terminated","No Room at the Morgue","Manchette, Jean Patrick","Not Available","Not Available","SELF","Not Available","Not Available","www.amazon.com","2025-02-19T00:00:00Z","2025-02-21T05:05:45Z","Yes"
"Stoner (New York Review Books Classics)","B003K15IF8","ITEM","10 USD","Item Owner","Terminated","Stoner New York Review Books Classics","Williams, John","Not Available","Not Available","SELF","Not Available","Not Available","www.amazon.com","2025-02-12T19:50:39Z","2025-02-19T06:14:06Z","Yes"
"Dead Money: A Novel","0593726707","ITEM","17 USD","Not Interested","Not Available","Dead Money A Novel","Kerr, Jakob","Not Available","Not Available","SELF","Not Available","Not Available","www.amazon.com","2025-02-12T00:00:00Z","2025-02-12T00:00:00Z","Not Available"
"The Miraculous from the Material: Understanding the Wonders of Nature","0593701488","ITEM","18 USD","Not Interested","Not Available","Miraculous from the Material Understanding the Wonders of Nature, The","Lightman, Alan","Not Available","Not Available","SELF","Not Available","Not Available","www.amazon.com","2025-02-06T00:00:00Z","2025-02-06T00:00:00Z","Not Available"
"Frostbite: How Refrigeration Changed Our Food, Our Planet, and Ourselves","B0CJTKZCTR","ITEM","15 USD","Item Owner","Terminated","Frostbite How Refrigeration Changed Our Food Our Planet and Ourselves","Twilley, Nicola","Not Available","Not Available","SELF","Not Available","Not Available","www.amazon.com","2025-01-27T19:09:06Z","2025-01-31T21:05:25Z","Yes"
"The Bones of Bascom Hall (A Nora Barnes and Toby Sandler Mystery)","B0DMDYK6Y6","ITEM","17 USD","Item Owner","Terminated","Bones of Bascom Hall A Nora Barnes and Toby Sandler Mystery, The","Draine, Betsy","Draine, Betsy B0DKNRSW7P","Nora Barnes and Toby Sandler Mystery, A B0DKNRSW7P","PRIMARY",5,"Not Available","www.amazon.com","2025-01-20T00:00:00Z","2025-01-31T18:38:58Z","Yes"
"Everything Is Predictable: How Bayesian Statistics Explain Our World","1668052601","ITEM","17 USD","Not Interested","Not Available","Everything Is Predictable How Bayesian Statistics Explain Our World","Chivers, Tom","Not Available","Not Available","SELF","Not Available","Not Available","www.amazon.com","2025-01-29T00:00:00Z","2025-01-29T00:00:00Z","Not Available"
"Hansons Half-Marathon Method: Run Your Best Half-Marathon the Hansons Way","B00JV2H5I8","ITEM","13 USD","Item Owner","Terminated","Hansons Half Marathon Method Run Your Best Half Marathon the Hansons Way","Luke, Humphrey","Not Available","Not Available","SELF","Not Available","Not Available","www.amazon.com","2022-05-02T14:43:41Z","2025-01-27T21:20:45Z","Yes"
"The Last Ranger: A novel","B0BL6YQ61Y","ITEM","13 USD","Item Owner","Terminated","Last Ranger A novel, The","Heller, Peter","Not Available","Not Available","SELF","Not Available","Not Available","www.amazon.com","2025-01-21T19:51:09Z","2025-01-27T04:28:21Z","Yes"
"Embers of the Hands: Hidden Histories of the Viking Age","1324089237","ITEM","23 USD","Not Interested","Not Available","Embers of the Hands Hidden Histories of the Viking Age","Barraclough, Eleanor","Not Available","Not Available","SELF","Not Available","Not Available","www.amazon.com","2025-01-26T00:00:00Z","2025-01-26T00:00:00Z","Not Available"
